date,btc_in_trust,net_assets_usd,implied_btc_px,nav_usd,closing_price_usd,premium_discount_pct,shares_outstanding,share_delta,btc_delta,management_fee_pct,est_fee_drain_btc,w_shares,flow_method_agreement,flow_btc_final,flow_usd_final,cumulative_flow_usd,btc_inventory,cost_basis_usd,avg_buy_price_ex_fee,effective_cost_per_current_btc,confidence_score_0_1,observed_annual_fee_drag_pct,estimated_annual_fee_pct,fee_model_error_pct,obs_ts_utc
2025-10-23,803869.2481832778,88764721455.76,110421.83994023122,62.663938,62.663938,0.0,1416520000.0,1200000.0,675.4937532485928,0.25,5.501327085137186,1.0,0.9999999723345938,680.99504265372,75196725.60000001,51308029615.87997,805883.7851297371,69842408346.43759,86665.60816234049,86882.79655463809,0.9999999359189444,0.24999828729993512,0.25,-1.7127000648820001e-06,backfill
2025-10-24,804839.8284761832,89134090705.92,110747.61406215401,62.848383,62.848383,0.0,1418240000.0,1720000.0,970.580292905448,0.25,5.505953754679985,1.0,0.9999999806821349,976.0862089483238,108099218.75999999,51416128834.63997,806859.8713386854,69950507565.19759,86694.74099528659,86912.33347340186,0.9999999553497364,0.2499982887628205,0.25,-1.7112371795136028e-06,backfill
2025-10-27,805118.3806651139,92596266637.56,115009.50526191467,65.265631,65.265631,0.0,1418760000.0,520000.0,278.55218893068377,0.25,16.537804694716094,1.0,0.9999996161457594,295.089767082396,33938128.12,51450066962.75997,807154.9611057678,69984445693.31758,86705.09265958285,86924.41679881031,0.9999990715562619,0.24999657507028078,0.25,-3.424929719220149e-06,backfill
2025-10-28,805680.3426279152,91976686896.64,114160.27179792683,64.783264,64.783264,0.0,1419760000.0,1000000.0,561.9619628012879,0.25,5.514509456610369,1.0,0.9999999667206472,567.4764344874,64783264.0,51514850226.75997,807722.4375402551,70049228957.31758,86724.38167080938,86944.19517402598,0.9999999228043528,0.24999828808608404,0.25,-1.711913915958263e-06,backfill
2025-10-29,806196.8990510749,89379989538.36,110866.20358324065,62.913527,62.913527,0.0,1420680000.0,920000.0,516.5564231596654,0.25,5.518358511150105,1.0,0.9999999638013114,522.074743873972,57880444.84,51572730671.59997,808244.5122841292,70107109402.15758,86739.97575811838,86960.28164419433,0.9999999159695996,0.249998289492237,0.25,-1.710507762986424e-06,backfill
2025-10-30,805396.9210670423,86007351795.51999,106788.77649740392,60.599284,60.599284,0.0,1419280000.0,-1400000.0,-799.9779840325937,0.25,5.521896568842979,1.0,0.9999999761970806,-794.4561252845,-84838997.6,51487891673.99997,807450.0561588446,70038198297.10951,86739.97575811838,86961.09516326229,0.9999999455818865,0.24999828445926298,0.25,-1.7155407370239573e-06,backfill
2025-10-31,802667.5737715301,88008183195.28,109644.6225948226,62.219461,62.219461,0.0,1414480000.0,-4800000.0,-2729.3472955122124,0.25,5.516417267582482,1.0,0.999999993064296,-2723.830916028,-298653412.8,51189238261.19997,804726.2252428166,69801933269.48402,86739.97575811838,86962.44317121539,0.9999999840759168,0.24999828584110206,0.25,-1.7141588979363576e-06,backfill
2025-11-03,801289.1933543043,85509597349.92,106715.02630900704,60.555774,60.555774,0.0,1412080000.0,-2400000.0,-1378.380417225766,0.25,16.493169324072536,1.0,0.9999999170521171,-1361.88747383304,-145333857.6,51043904403.59997,803364.3377689836,69683803183.01846,86739.97575811838,86964.61123020104,0.9999998112049006,0.2499965762751688,0.25,-3.423724831197461e-06,backfill
2025-11-04,799535.9614891764,80281487715.00002,100410.1023367011,56.977635,56.977635,0.0,1409000000.0,-3080000.0,-1753.2318651279202,0.25,5.488282146262358,1.0,0.9999999892458967,-1747.743620572488,-175491115.8,50868413287.799965,801616.5941484111,69532203943.7386,86739.97575811838,86965.69922162268,0.9999999753328912,0.2499982848442328,0.25,-1.7151557671901685e-06,backfill
2025-11-05,799530.4852529761,83186004542.0,104043.56816449793,59.039038,59.039038,0.0,1409000000.0,0.0,-5.4762362003093585,0.25,5.476273708829975,1.0,2.6660608276607434e-08,0.0,0.0,50868413287.799965,801616.5941484111,69532203943.7386,86739.97575811838,86966.29487709679,0.6999931586733461,0.24999829259225725,0.25,-1.7074077427459144e-06,backfill
