date,nav_usd,shares_outstanding,btc_per_share,btc_in_trust,net_assets_usd,closing_price_usd,premium_discount_pct,basket_usd,basket_btc,management_fee_pct,obs_ts_utc
2024-05-20,39.494151,486000000.0,0.0005695245846279,276788.94812917337,19194157386.000004,39.494151,0.0,,,0.25,backfill
2024-05-21,39.616216,487680000.0,0.0005695206838013,277743.8470762314,19320036218.88,39.616216,0.0,,,0.25,backfill
2024-05-22,39.634772,495000000.0,0.0005695167830014,281910.80758571473,19619212140.0,39.634772,0.0,,,0.25,backfill
2024-05-23,38.341216,497320000.0,0.0005695128822282,283230.1465897672,19067853541.12,38.341216,0.0,,,0.25,backfill
2024-05-24,39.248787,499640000.0,0.0005695089814818,284549.4675075813,19610263936.68,39.248787,0.0,,,0.25,backfill
2024-05-28,38.829972,504280000.0,0.0005694933787632,287184.1210427096,19581178280.16,38.829972,0.0,,,0.25,backfill
2024-05-29,38.381088,506920000.0,0.0005694894781503,288685.6062639715,19456141128.96,38.381088,0.0,,,0.25,backfill
2024-05-30,39.257739,507560000.0,0.0005694855775641,289048.09974848264,19925658006.84,39.257739,0.0,,,0.25,backfill
2024-05-31,38.425468,507600000.0,0.0005694816770047,289068.8992476177,19504767556.800003,38.425468,0.0,,,0.25,backfill
2024-06-03,39.348374,512000000.0,0.0005694699754867,291568.62744922296,20146367488.0,39.348374,0.0,,,0.25,backfill
2024-06-04,40.122064,512000000.0,0.0005694660750341,291566.6304175078,20542496768.0,40.122064,0.0,,,0.25,backfill
2024-06-05,40.476104,518840000.0,0.0005694621746083,295459.7546737919,21000621799.36,40.476104,0.0,,,0.25,backfill
2024-06-06,40.315738,522680000.0,0.0005694582742092,297644.45076366625,21072229937.84,40.315738,0.0,,,0.25,backfill
2024-06-07,39.3304,531360000.0,0.0005694543738367,302585.27608191123,20898601344.0,39.3304,0.0,,,0.25,backfill
2024-06-10,39.645887,535640000.0,0.0005694426728797,305016.27330133424,21235922912.68,39.645887,0.0,,,0.25,backfill
2024-06-11,38.297925,535800000.0,0.0005694387726142,305105.2943667048,20520028215.0,38.297925,0.0,,,0.25,backfill
2024-06-12,38.947347,535800000.0,0.0005694348723753,305103.204618728,20867988522.6,38.947347,0.0,,,0.25,backfill
2024-06-13,37.973556,536200000.0,0.0005694309721632,305328.8872739296,20361420727.2,37.973556,0.0,,,0.25,backfill
2024-06-14,37.248632,536680000.0,0.0005694270719778,305600.12098905444,19990595821.76,37.248632,0.0,,,0.25,backfill
2024-06-17,38.010353,536720000.0,0.0005694153715818,305616.6182353958,20400916662.160004,38.010353,0.0,,,0.25,backfill
2024-06-18,36.662937,536720000.0,0.0005694114715032,305614.5249852247,19677731546.640003,36.662937,0.0,,,0.25,backfill
2024-06-20,36.976953,536720000.0,0.0005694036714262,305610.33852789406,19846270214.16,36.976953,0.0,,,0.25,backfill
2024-06-21,36.459115,536760000.0,0.0005693997714278,305631.0213115915,19569794567.4,36.459115,0.0,,,0.25,backfill
2024-06-24,34.131683,536760000.0,0.0005693880715927,305624.7413081401,18320522167.08,34.131683,0.0,,,0.25,backfill
2024-06-25,35.273396,536760000.0,0.0005693841717011,305622.6480023319,18933348036.96,35.273396,0.0,,,0.25,backfill
2024-06-26,34.617598,536760000.0,0.0005693802718363,305620.5547108613,18581341902.48,34.617598,0.0,,,0.25,backfill
2024-06-27,35.004683,536760000.0,0.0005693763719981,305618.4614337283,18789113647.08,35.004683,0.0,,,0.25,backfill
2024-06-28,34.343962,536760000.0,0.0005693724721866,305616.3681709326,18434465043.12,34.343962,0.0,,,0.25,backfill
2024-07-01,36.036878,539160000.0,0.0005693607729126,306976.5543235593,19429643142.48,36.036878,0.0,,,0.25,backfill
2024-07-02,35.288525,539160000.0,0.0005693568732079,306974.45175882115,19026161139.0,35.288525,0.0,,,0.25,backfill
2024-07-03,34.101591,539560000.0,0.00056935297353,307200.0903978962,18399854439.96,34.101591,0.0,,,0.25,backfill
2024-07-05,32.180919,539560000.0,0.0005693451742544,307195.8822207146,17363536655.640003,32.180919,0.0,,,0.25,backfill
2024-07-08,32.056337,539560000.0,0.0005693334755412,307189.5700630275,17296317191.719997,32.056337,0.0,,,0.25,backfill
2024-07-09,32.889897,545400000.0,0.0005693295760235,310512.3507632653,17938149823.8,32.889897,0.0,,,0.25,backfill
2024-07-10,32.708434,549080000.0,0.0005693256765326,312605.34247054945,17959546940.719997,32.708434,0.0,,,0.25,backfill
2024-07-11,32.769745,549760000.0,0.0005693217770684,312990.3401611385,18015495011.2,32.769745,0.0,,,0.25,backfill
